ID,User ID,Email,Nome,Cognome,Nome Completo,Telefono,Ruolo,Stato,Avatar,Data Iscrizione,Org ID,Creato il,Aggiornato il
"631e5980-123e-40ea-bad8-2699cc4f1183","d47cec5a-5583-4035-8420-af6ea1135135","pt3@22club.it","PT3","User","PT3 User","","pt","attivo","","2025-06-11T09:37:21.485","default-org","2025-11-14T09:15:35.769857+00:00","2025-11-14T09:37:21.519422+00:00"
"9f4a8795-4104-4a8f-8013-637f2a37c0d2","796991ba-be7b-4f95-8232-6aa589265ef7","pt@22club.it","PT","User","PT User","","pt","attivo","","2025-06-15T09:37:21.136","default-org","2025-11-14T09:15:34.84264+00:00","2025-11-14T09:37:21.170512+00:00"
"55540706-3300-4442-b1c2-8feb9fdafacb","e4bcc6a3-6c1e-4a3b-88c6-e04032bf9b6b","atleta3@22club.it","Atleta3","User","Atleta3 User","","atleta","attivo","","2025-06-25T09:37:12.47","default-org","2025-11-14T09:15:31.436996+00:00","2025-11-14T09:37:12.50692+00:00"
"8f752488-f417-430d-b9cc-1c01553d0e64","7f22d31e-cf94-4448-911d-aac88d024b1b","alex@22club.it","Alex","Bergo","Alex Bergo","","atleta","attivo","","2025-06-27T09:36:46.527","default-org","2025-11-11T08:33:47.45338+00:00","2025-11-14T09:36:46.561222+00:00"
"24b5738c-0c3b-4078-88d4-7e48b95e29b4","f19d251d-3772-4d49-9cdf-9542c7024a25","francescobernotto09@gmail.com","Francesco","Bernotto","Francesco Bernotto","351 4143907","atleta","attivo","","2025-07-08T09:36:19.911","default-org","2025-11-11T08:21:16.063557+00:00","2025-11-14T09:36:19.991054+00:00"
"af81b776-07ed-4bd0-99f2-04cd0e303231","bb4687f8-21b6-4564-b8d8-1903fcf00f2d","dima.kushniriuk@gmail.com","Dmytro","Kushniriuk","Dmytro Kushniriuk","+39 333 123 4567","atleta","attivo","","2025-07-16T09:37:02.249","default-org","2025-11-02T11:32:40.338704+00:00","2025-11-29T23:11:37.820652+00:00"
"55994fd6-92e2-4ee6-9bc8-11f74c733701","2d202680-47c2-4dcb-a80f-c1172e7babee","chiara.romano@22club.it","Chiara","Romano","Chiara Romano","","atleta","attivo","","2025-07-03T09:37:17.445","default-org","2025-11-02T09:26:26.999255+00:00","2025-11-14T09:37:17.481622+00:00"
"d6b353f8-0179-46bb-b50d-368c4cd6c813","41f09086-836c-40db-975d-b8d921bfbd3d","alessandro.ferrari@22club.it","Alessandro","Ferrari","Alessandro Ferrari","","atleta","attivo","","2025-07-13T09:36:26.794","default-org","2025-11-02T09:26:26.211056+00:00","2025-11-14T09:36:26.828303+00:00"
"bbe6ee43-24d7-4e5b-9abb-b85ab76fb052","ef29fce7-aad7-4939-99ad-53750a6f3023","sofia.neri@22club.it","Sofia","Neri","Sofia Neri","","atleta","attivo","","2025-06-22T09:36:52.3","default-org","2025-11-02T09:26:25.412238+00:00","2025-11-14T09:36:52.333845+00:00"
"ceb2dfef-8e73-4f4c-b126-d1e363577668","735fc592-2ea1-4a02-877d-08f3bba22c4b","luca.verdi@22club.it","Luca","Verdi","Luca Verdi","","atleta","attivo","","2025-07-09T09:36:36.96","default-org","2025-11-02T09:26:24.387548+00:00","2025-11-14T09:36:36.992528+00:00"
"f73b8413-b155-4a30-8ede-1b87c8b0c9a2","2af8b24f-9707-4aa2-b9b6-cd5d43016645","giulia.bianchi@22club.it","Giulia","Bianchi","Giulia Bianchi","","atleta","attivo","","2025-07-17T09:36:32.035","default-org","2025-11-02T09:26:23.549173+00:00","2025-11-14T09:36:32.07307+00:00"
"a59efd67-cf4b-4b8a-bad5-13b091d990ab","6cc115f5-62bd-45d0-b74d-d12e17927dae","mario.rossi@22club.it","Mario","Rossi","Mario Rossi","","atleta","attivo","","2025-06-24T09:36:43.06","default-org","2025-11-02T09:26:22.668644+00:00","2025-11-14T09:36:43.096867+00:00"
"24a1b739-03f3-4b26-bbc1-5cecedd8cea4","2c66a1c9-9d91-4f63-8831-81528a8ed19d","pt2@22club.it","Pt2","User","Pt2 User","","pt","attivo","","2025-05-22T09:37:21.32","default-org","2025-10-30T10:12:58.076428+00:00","2025-11-14T09:37:21.360936+00:00"
"e6939e17-1edc-4281-ba2c-9e4482edcdc9","200cb8b8-6a59-4e52-b730-280e56f69bae","atleta2@22club.it","Atleta2","User","Atleta2 User","","atleta","attivo","","2025-06-29T09:37:06.95","default-org","2025-10-30T10:12:58.076428+00:00","2025-11-14T09:37:06.985231+00:00"
"15205f63-c23a-4116-81cd-cc3fe3f7a8e2","39d6cb02-4450-4e18-a674-f38993bf4b4e","atleta1@22club.it","Luigi","Bianchi","Luigi Bianchi","","atleta","attivo","","2025-07-05T09:36:58.02","default-org","2025-10-08T12:32:50.428725+00:00","2025-11-14T09:36:58.056941+00:00"
"81157b81-d4de-456c-935f-d3808e91d30e","3e3ee096-ff78-4a09-b263-f7b29621c02f","pt1@22club.it","Marco","Rossi","Marco Rossi","","pt","attivo","","2025-05-24T09:37:21.651","default-org","2025-10-08T12:32:49.97974+00:00","2025-11-14T09:37:21.688605+00:00"
"f81c9605-00a4-46b2-9d5b-14a28fa6b722","ff6f824a-c85a-49d3-b97e-b92ccea96803","admin@22club.it","Admin","Sistema","Admin Sistema","+39 340 9876543","admin","attivo","","2025-10-09T04:35:47.835901","default-org","2025-10-08T12:32:49.471743+00:00","2025-10-12T10:20:31.310475+00:00"
